study_id	trait	trait_category	finemap_method	n_credible_sets	n_variants	n_variants_source	n_samples	canonical_trait	statistic	ancestry	trait_detail
GCST90399687	Asthma	allergic_respiratory	SuSiE	157	38355126	gwas_catalog_sumstats_original_rows		Asthma			Asthma
GCST90473712	Asthma	allergic_respiratory	SuSiE	94	102304434	gwas_catalog_rest_snpCount		Asthma			Asthma
GCST90503109	Atopic eczema	allergic_respiratory	SuSiE	117	57514631	gwas_catalog_rest_snpCount		Atopic eczema			Atopic eczema
GCST90013970	allergic rhinitis	allergic_respiratory	SuSiE-inf	188	11914699	gwas_catalog_rest_snpCount	407746	allergic rhinitis			allergic rhinitis
GCST90399686	asthma	allergic_respiratory	SuSiE-inf	167	27096526	gwas_catalog_sumstats_original_rows	1376071	asthma			asthma
FINNGEN_R12_L12_ATOPIC	atopic dermatitis	allergic_respiratory	SuSie	98	21311942	finngen_r12_cohort_constant	464119	atopic dermatitis			atopic dermatitis
GCST007692	chronic obstructive pulmonary disease	allergic_respiratory	PICS	67	6224355	gwas_catalog_rest_snpCount	257811	chronic obstructive pulmonary disease			chronic obstructive pulmonary disease
GCST90691864	body height	anthropometric	SuSiE-inf	4830	23861814	gwas_catalog_rest_snpCount	419596	body height			body height
GCST90013870	body mass index	anthropometric	SuSiE-inf	723	11914699	gwas_catalog_rest_snpCount	407609	body mass index			body mass index
GCST90475762	obesity	anthropometric	SuSiE-inf	419	44300000	gwas_catalog_rest_snpCount	413854	obesity			obesity
FINNGEN_R12_K11_COELIAC	Celiac disease	autoimmune	SuSiE	31	21311942	finngen_r12_cohort_constant		Celiac disease			Celiac disease
GCST90446792	Crohn's disease	autoimmune	SuSiE-inf	223	22382520	gwas_catalog_sumstats_original_rows	367592	Crohn's disease			Crohn's disease
GCST90018627	Graves disease	autoimmune	SuSiE-inf	30	13429311	gwas_catalog_rest_snpCount	175465	Graves disease			Graves disease
GCST90292538	Inflammatory bowel disease	autoimmune	SuSiE	293	22406955	gwas_catalog_sumstats_original_rows		Inflammatory bowel disease			Inflammatory bowel disease
GCST90473823	Inflammatory bowel disease	autoimmune	SuSiE	14	102304434	gwas_catalog_rest_snpCount		Inflammatory bowel disease			Inflammatory bowel disease
FINNGEN_R12_G6_MS	Multiple sclerosis	autoimmune	SuSiE	14	21311942	finngen_r12_cohort_constant		Multiple sclerosis			Multiple sclerosis
GCST90472771	Psoriasis	autoimmune	SuSiE	103	11808957	gwas_catalog_rest_snpCount		Psoriasis			Psoriasis
GCST90473937	Psoriasis	autoimmune	SuSiE	33	102304434	gwas_catalog_rest_snpCount		Psoriasis			Psoriasis
GCST90132222	Rheumatoid arthritis	autoimmune	SuSiE	96	20990826	gwas_catalog_rest_snpCount		Rheumatoid arthritis			Rheumatoid arthritis
